X0,U1,U2,U3,U4,T,Y
52.48,50.0,50.0,50.0,50.0,1.0,52.48
52.48,50.0,50.0,50.0,50.0,2.0,52.48
52.48,50.0,50.0,50.0,50.0,3.0,52.61
52.48,50.0,50.0,50.0,50.0,4.0,52.8
52.48,50.0,50.0,50.0,50.0,1.0,52.48
52.48,50.0,50.0,50.0,50.0,2.0,52.61
52.48,50.0,50.0,50.0,50.0,3.0,52.8
52.48,50.0,50.0,50.0,50.0,4.0,52.8
52.61,50.0,50.0,50.0,20.0,1.0,52.61
52.61,50.0,50.0,50.0,20.0,2.0,52.8
52.61,50.0,50.0,50.0,20.0,3.0,52.8
52.61,50.0,50.0,50.0,20.0,4.0,52.8
52.8,50.0,50.0,20.0,20.0,1.0,52.8
52.8,50.0,50.0,20.0,20.0,2.0,52.8
52.8,50.0,50.0,20.0,20.0,3.0,52.8
52.8,50.0,50.0,20.0,20.0,4.0,52.83
52.8,50.0,20.0,20.0,20.0,1.0,52.8
52.8,50.0,20.0,20.0,20.0,2.0,52.8
52.8,50.0,20.0,20.0,20.0,3.0,52.83
52.8,50.0,20.0,20.0,20.0,4.0,52.8
52.8,20.0,20.0,20.0,20.0,1.0,52.8
52.8,20.0,20.0,20.0,20.0,2.0,52.83
52.8,20.0,20.0,20.0,20.0,3.0,52.8
52.8,20.0,20.0,20.0,20.0,4.0,52.71
52.83,20.0,20.0,20.0,20.0,1.0,52.83
52.83,20.0,20.0,20.0,20.0,2.0,52.8
52.83,20.0,20.0,20.0,20.0,3.0,52.71
52.83,20.0,20.0,20.0,20.0,4.0,52.48
52.8,20.0,20.0,20.0,20.0,1.0,52.8
52.8,20.0,20.0,20.0,20.0,2.0,52.71
52.8,20.0,20.0,20.0,20.0,3.0,52.48
52.8,20.0,20.0,20.0,20.0,4.0,52.16
52.71,20.0,20.0,20.0,20.0,1.0,52.71
52.71,20.0,20.0,20.0,20.0,2.0,52.48
52.71,20.0,20.0,20.0,20.0,3.0,52.16
52.71,20.0,20.0,20.0,20.0,4.0,51.84
